trade_id,direction,entry_time,exit_time,buy_price,sell_price,profit,pnl
1,SHORT,1100,1580,117.982,114.206,3.77552,3.77552
2,SHORT,2130,2790,118.953,108.753,10.2001,13.9757
3,LONG,2990,3160,94.5878,84.2213,-10.3665,3.60916
4,LONG,3200,3710,86.6094,77.0673,-9.54219,-5.93303
5,SHORT,4130,4340,88.2978,94.9159,-6.61811,-12.5511
6,SHORT,4370,4580,94.8603,104.849,-9.98862,-22.5398
7,SHORT,4590,4710,103.228,113.954,-10.7258,-33.2656
8,SHORT,4760,4920,112.704,114.249,-1.5447,-34.8103
9,SHORT,5060,5200,122.978,130.751,-7.77359,-42.5839
10,SHORT,5230,5620,127.211,128.831,-1.61968,-44.2035
11,SHORT,5920,6230,134.21,146.883,-12.6721,-56.8757
12,SHORT,6240,7510,144.137,97.7588,46.3785,-10.4972
13,LONG,8870,9120,94.5208,95.4772,0.956397,-9.54079
14,LONG,9240,9520,92.8123,88.1929,-4.61936,-14.1601
15,LONG,9610,10080,85.2328,90.4907,5.2579,-8.90225
16,LONG,10340,11300,81.9112,120.33,38.4187,29.5164
17,LONG,12580,13310,111.421,99.721,-11.7,17.8165
18,LONG,13920,14560,94.3382,100.802,6.46422,24.2807
19,SHORT,16010,16420,106.031,110.446,-4.41543,19.8653
20,SHORT,16450,16840,108.111,106.4,1.71161,21.5769
21,LONG,16970,17170,94.5029,83.7418,-10.7611,10.8158
22,SHORT,17750,17990,101.854,108.387,-6.53305,4.2827
23,LONG,19550,19710,94.2563,88.0026,-6.25363,-1.97093
24,LONG,19770,20150,88.3011,79.0567,-9.24437,-11.2153
25,LONG,20310,21210,75.3135,82.3401,7.02657,-4.18873
26,SHORT,22500,22640,90.8013,87.6343,3.16701,-1.02172
27,SHORT,22960,23070,89.9627,98.854,-8.89135,-9.91307
28,SHORT,23450,23590,116.504,113.709,2.79585,-7.11722
29,SHORT,23970,24140,145.156,157.205,-12.0494,-19.1667
30,LONG,25010,25190,121.734,116.463,-5.27117,-24.4378
31,SHORT,25910,26060,139.126,158.26,-19.1343,-43.5721
32,SHORT,26100,26290,150.691,166.812,-16.1213,-59.6934
33,SHORT,26310,26730,168.515,178.365,-9.84936,-69.5428
34,SHORT,26750,27070,175.088,186.392,-11.3037,-80.8465
35,SHORT,27170,27430,189.626,201.105,-11.4789,-92.3254
36,SHORT,27910,28780,207.457,193.456,14.0008,-78.3245
37,LONG,29190,31030,172.497,262.58,90.0825,11.7579
38,SHORT,31400,31620,310.271,330.385,-20.1141,-8.35619
39,SHORT,31680,32390,332.392,326.17,6.22231,-2.13389
40,SHORT,32760,32860,336.535,366.894,-30.3582,-32.4921
41,SHORT,32980,33090,362.445,401.654,-39.2093,-71.7014
42,SHORT,33240,33300,423.573,462.256,-38.6833,-110.385
43,SHORT,33370,33420,455.19,503.553,-48.363,-158.748
44,LONG,34660,34800,513.842,447.877,-65.9647,-224.712
45,LONG,34840,34910,467.368,419.622,-47.7456,-272.458
46,LONG,34940,35420,441.077,404.41,-36.6668,-309.125
47,SHORT,35880,36070,453.068,453.92,-0.851364,-309.976
48,LONG,36410,37270,395.026,364.768,-30.2582,-340.234
49,LONG,37400,38110,368.727,378.241,9.51385,-330.72
50,LONG,38150,38210,365.023,334.09,-30.9329,-361.653
51,LONG,38420,38930,312.04,334.86,22.8202,-338.833
52,SHORT,39130,39360,356.03,367.638,-11.6079,-350.441
53,SHORT,39380,39910,366.573,366.922,-0.349005,-350.79
54,SHORT,40110,40590,410.466,368.433,42.0336,-308.756
55,SHORT,41210,41440,406.064,408.574,-2.51017,-311.267
56,SHORT,42000,42140,468.646,526.8,-58.1548,-369.421
57,SHORT,42180,42460,508.57,544.967,-36.3971,-405.819
58,LONG,42990,43570,472.493,520.194,47.7007,-358.118
59,SHORT,43760,43930,584.719,603.953,-19.234,-377.352
60,SHORT,44420,44630,610.324,632.534,-22.2095,-399.561
61,SHORT,44700,45410,646.286,524.742,121.544,-278.018
62,SHORT,46780,47170,699.517,714.897,-15.3803,-293.398
63,SHORT,48070,49100,776.807,710.388,66.4194,-226.979
64,LONG,49220,49500,640.56,606.792,-33.7683,-260.747
65,LONG,49530,49710,613.715,642.868,29.1531,-231.594
66,SHORT,50160,50310,738.241,822.993,-84.7522,-316.346
67,SHORT,50320,50880,799.945,714.327,85.6181,-230.728
68,SHORT,51470,51710,867.784,820.487,47.2968,-183.431
69,SHORT,52980,53300,1267.39,1271.23,-3.84069,-187.272
70,SHORT,53430,53730,1346,1403.51,-57.5124,-244.784
71,SHORT,53750,53930,1382.42,1459.13,-76.7169,-321.501
72,SHORT,53940,54290,1420.43,1372.11,48.3224,-273.179
73,LONG,54540,54890,1221.57,1300.99,79.4164,-193.762
74,SHORT,56480,56530,1530.67,1598.01,-67.3416,-261.104
75,SHORT,56870,57430,1589.88,1391.31,198.562,-62.5424
76,SHORT,57770,57890,1611.13,1761.44,-150.309,-212.852
77,SHORT,57940,58040,1736.94,1906.02,-169.071,-381.923
78,SHORT,58100,58170,1903.28,2089.7,-186.42,-568.343
79,SHORT,59590,59960,2574.37,2586.26,-11.8935,-580.236
80,SHORT,60380,60440,2699.9,2906.03,-206.136,-786.372
81,SHORT,61880,61890,3224.12,3387.22,-163.105,-949.477
82,SHORT,61990,62300,3373.44,3604.38,-230.939,-1180.42
83,SHORT,62320,62510,3578.74,3841,-262.265,-1442.68
84,SHORT,62550,62640,3798.34,4179.57,-381.229,-1823.91
85,SHORT,62820,62950,4387.94,4870.65,-482.711,-2306.62
86,SHORT,62960,63220,4783.26,5029.87,-246.606,-2553.23
87,LONG,63740,63910,4460.16,4219.78,-240.385,-2793.61
88,LONG,63940,64070,4247.15,3821.83,-425.319,-3218.93
89,LONG,64080,64190,3964.82,3597.93,-366.887,-3585.82
90,SHORT,64760,64980,4714.8,4964.98,-250.179,-3836
91,SHORT,65010,65070,4941.38,5460.35,-518.963,-4354.96
92,SHORT,65100,65440,5296.87,5389.27,-92.3975,-4447.36
93,SHORT,65550,65720,5800.6,5960.86,-160.263,-4607.62
94,SHORT,65750,65870,6009.18,6727.55,-718.366,-5325.99
95,SHORT,65930,66050,6410.69,6947.14,-536.459,-5862.45
96,SHORT,66530,67790,8126.55,6433.89,1692.66,-4169.78
97,LONG,68260,68480,5887.48,5343.87,-543.61,-4713.39
98,LONG,68510,69920,5728.26,6769.03,1040.77,-3672.62
99,SHORT,70800,71070,7904.09,7579.95,324.136,-3348.48
100,SHORT,71440,71450,7947,8340.49,-393.486,-3741.97
101,SHORT,71610,71740,8513.2,9395.84,-882.639,-4624.61
102,SHORT,71770,71980,9243.65,9322.89,-79.233,-4703.84
103,SHORT,72290,72680,10200.6,9410.06,790.528,-3913.31
104,SHORT,73600,73870,10223.9,10749.4,-525.572,-4438.89
105,SHORT,73970,74620,10931.9,11178.2,-246.251,-4685.14
106,SHORT,74800,75120,11748.2,11872.9,-124.692,-4809.83
107,SHORT,75470,75520,11959.2,12890,-930.761,-5740.59
108,SHORT,75600,75870,12324.9,12647,-322.123,-6062.71
109,SHORT,75940,76260,12817.7,13274.2,-456.501,-6519.21
110,SHORT,76280,76960,13253.1,10961.7,2291.43,-4227.78
111,SHORT,77390,77440,12607.6,13948.1,-1340.54,-5568.32
112,SHORT,77670,78270,14735.2,12434,2301.21,-3267.12
113,LONG,80170,80470,7008.42,6966.65,-41.7636,-3308.88
114,LONG,80950,81360,5779.6,5148.64,-630.966,-3939.85
115,SHORT,82030,82260,6628.57,7211.93,-583.356,-4523.2
116,LONG,83670,84190,5840.79,6063.09,222.306,-4300.9
117,LONG,85080,85310,4946.91,4812.91,-134.002,-4434.9
118,LONG,85450,85650,4445.01,4745.46,300.447,-4134.45
119,LONG,86690,86860,4286.62,4174.36,-112.264,-4246.72
120,LONG,86980,88610,4073.36,6507.76,2434.4,-1812.32
121,LONG,88980,90470,5312.01,6262.55,950.544,-861.772
122,SHORT,90780,90980,7096.83,7912.6,-815.771,-1677.54
123,SHORT,91140,91900,8559.9,8497.49,62.4107,-1615.13
124,LONG,92380,92790,6582.51,7651,1068.49,-546.644
125,SHORT,93700,93810,9382.78,10133.5,-750.76,-1297.4
126,SHORT,94160,94620,10302.3,10227.1,75.258,-1222.15
127,SHORT,94670,95000,10225.3,9909.11,316.163,-905.984
128,SHORT,95160,95260,10385.2,11080.5,-695.317,-1601.3
129,SHORT,95460,95540,11521.3,12686.9,-1165.66,-2766.96
130,SHORT,95570,95690,12412.5,13680,-1267.49,-4034.45
131,LONG,96790,97130,9329.02,8685.54,-643.473,-4677.93
132,LONG,97980,98210,8243.09,7912.49,-330.603,-5008.53
133,SHORT,98900,99690,8689.55,8279.75,409.798,-4598.73
